,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
21MH1A04E1,R2031041,ANALOG ICS AND APPLICATIONS,26,A,3,
21MH1A04E1,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04E1,R2031043,DIGITAL COMMUNICATIONS,29,A+,3,
21MH1A04E1,R2031044,ANALOG ICS AND APPLICATIONS LAB,15,A+,1.5,
21MH1A04E1,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04E1,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04E1,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04E1,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04E1,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,25,A,3,
21MH1A04E1,R203105L,OPERATING SYSTEMS,28,B,3,
21MH1A04E2,R2031041,ANALOG ICS AND APPLICATIONS,24,A,3,
21MH1A04E2,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,D,3,
21MH1A04E2,R2031043,DIGITAL COMMUNICATIONS,30,B,3,
21MH1A04E2,R2031044,ANALOG ICS AND APPLICATIONS LAB,15,A+,1.5,
21MH1A04E2,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04E2,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04E2,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04E2,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04E2,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,25,B,3,
21MH1A04E2,R203105L,OPERATING SYSTEMS,26,B,3,
21MH1A04E4,R2031041,ANALOG ICS AND APPLICATIONS,18,E,3,
21MH1A04E4,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,27,F,0,
21MH1A04E4,R2031043,DIGITAL COMMUNICATIONS,22,F,0,
21MH1A04E4,R2031044,ANALOG ICS AND APPLICATIONS LAB,13,A+,1.5,
21MH1A04E4,R2031045,DIGITAL COMMUNICATIONS LAB,13,A,1.5,
21MH1A04E4,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04E4,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04E4,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04E4,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,19,D,3,
21MH1A04E4,R203105L,OPERATING SYSTEMS,23,D,3,
21MH1A04E5,R2031041,ANALOG ICS AND APPLICATIONS,17,E,3,
21MH1A04E5,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,26,D,3,
21MH1A04E5,R2031043,DIGITAL COMMUNICATIONS,23,F,0,
21MH1A04E5,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,B,1.5,
21MH1A04E5,R2031045,DIGITAL COMMUNICATIONS LAB,11,B,1.5,
21MH1A04E5,R2031046,DATA STRUCTURES USING JAVA LAB,0,B,2,
21MH1A04E5,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04E5,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,C,1.5,
21MH1A04E5,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,17,E,3,
21MH1A04E5,R203105L,OPERATING SYSTEMS,18,F,0,
21MH1A04E6,R2031041,ANALOG ICS AND APPLICATIONS,27,C,3,
21MH1A04E6,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04E6,R2031043,DIGITAL COMMUNICATIONS,29,A,3,
21MH1A04E6,R2031044,ANALOG ICS AND APPLICATIONS LAB,15,A+,1.5,
21MH1A04E6,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04E6,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04E6,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04E6,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04E6,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,23,B,3,
21MH1A04E6,R203105L,OPERATING SYSTEMS,27,C,3,
21MH1A04E7,R2031041,ANALOG ICS AND APPLICATIONS,21,D,3,
21MH1A04E7,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,25,D,3,
21MH1A04E7,R2031043,DIGITAL COMMUNICATIONS,20,B,3,
21MH1A04E7,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04E7,R2031045,DIGITAL COMMUNICATIONS LAB,14,A+,1.5,
21MH1A04E7,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04E7,R2031047,INDIAN TRADITIONAL KNOWLEDGE,25,COMPLE,0,
21MH1A04E7,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04E7,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,19,C,3,
21MH1A04E7,R203105L,OPERATING SYSTEMS,24,B,3,
21MH1A04E8,R2031041,ANALOG ICS AND APPLICATIONS,20,D,3,
21MH1A04E8,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04E8,R2031043,DIGITAL COMMUNICATIONS,28,D,3,
21MH1A04E8,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04E8,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04E8,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04E8,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04E8,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04E8,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,20,E,3,
21MH1A04E8,R203105L,OPERATING SYSTEMS,28,C,3,
21MH1A04F0,R2031041,ANALOG ICS AND APPLICATIONS,17,D,3,
21MH1A04F0,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,25,F,0,
21MH1A04F0,R2031043,DIGITAL COMMUNICATIONS,20,F,0,
21MH1A04F0,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04F0,R2031045,DIGITAL COMMUNICATIONS LAB,10,A,1.5,
21MH1A04F0,R2031046,DATA STRUCTURES USING JAVA LAB,0,B,2,
21MH1A04F0,R2031047,INDIAN TRADITIONAL KNOWLEDGE,25,COMPLE,0,
21MH1A04F0,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,B,1.5,
21MH1A04F0,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,18,D,3,
21MH1A04F0,R203105L,OPERATING SYSTEMS,18,D,3,
21MH1A04F1,R2031041,ANALOG ICS AND APPLICATIONS,24,F,0,
21MH1A04F1,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,28,D,3,
21MH1A04F1,R2031043,DIGITAL COMMUNICATIONS,28,B,3,
21MH1A04F1,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04F1,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04F1,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04F1,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04F1,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04F1,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,19,C,3,
21MH1A04F1,R203105L,OPERATING SYSTEMS,24,C,3,
21MH1A04F2,R2031041,ANALOG ICS AND APPLICATIONS,24,C,3,
21MH1A04F2,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04F2,R2031043,DIGITAL COMMUNICATIONS,30,B,3,
21MH1A04F2,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04F2,R2031045,DIGITAL COMMUNICATIONS LAB,14,A+,1.5,
21MH1A04F2,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04F2,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04F2,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04F2,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,24,B,3,
21MH1A04F2,R203105L,OPERATING SYSTEMS,27,B,3,
21MH1A04F3,R2031041,ANALOG ICS AND APPLICATIONS,25,B,3,
21MH1A04F3,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,28,B,3,
21MH1A04F3,R2031043,DIGITAL COMMUNICATIONS,29,A,3,
21MH1A04F3,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04F3,R2031045,DIGITAL COMMUNICATIONS LAB,8,A,1.5,
21MH1A04F3,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04F3,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04F3,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04F3,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,22,C,3,
21MH1A04F3,R203105L,OPERATING SYSTEMS,27,A,3,
21MH1A04F4,R2031041,ANALOG ICS AND APPLICATIONS,18,D,3,
21MH1A04F4,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,26,D,3,
21MH1A04F4,R2031043,DIGITAL COMMUNICATIONS,26,F,0,
21MH1A04F4,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,B,1.5,
21MH1A04F4,R2031045,DIGITAL COMMUNICATIONS LAB,10,B,1.5,
21MH1A04F4,R2031046,DATA STRUCTURES USING JAVA LAB,0,ABSENT,0,
21MH1A04F4,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04F4,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04F4,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,18,D,3,
21MH1A04F4,R203105L,OPERATING SYSTEMS,18,D,3,
21MH1A04F5,R2031041,ANALOG ICS AND APPLICATIONS,17,E,3,
21MH1A04F5,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,25,F,0,
21MH1A04F5,R2031043,DIGITAL COMMUNICATIONS,22,F,0,
21MH1A04F5,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04F5,R2031045,DIGITAL COMMUNICATIONS LAB,12,B,1.5,
21MH1A04F5,R2031046,DATA STRUCTURES USING JAVA LAB,0,C,2,
21MH1A04F5,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04F5,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,D,1.5,
21MH1A04F5,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,15,E,3,
21MH1A04F5,R203105L,OPERATING SYSTEMS,22,D,3,
21MH1A04F6,R2031041,ANALOG ICS AND APPLICATIONS,18,F,0,
21MH1A04F6,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,D,3,
21MH1A04F6,R2031043,DIGITAL COMMUNICATIONS,24,D,3,
21MH1A04F6,R2031044,ANALOG ICS AND APPLICATIONS LAB,11,B,1.5,
21MH1A04F6,R2031045,DIGITAL COMMUNICATIONS LAB,11,B,1.5,
21MH1A04F6,R2031046,DATA STRUCTURES USING JAVA LAB,0,C,2,
21MH1A04F6,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04F6,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,D,1.5,
21MH1A04F6,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,15,E,3,
21MH1A04F6,R203105L,OPERATING SYSTEMS,27,C,3,
21MH1A04F7,R2031041,ANALOG ICS AND APPLICATIONS,24,D,3,
21MH1A04F7,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,28,C,3,
21MH1A04F7,R2031043,DIGITAL COMMUNICATIONS,30,B,3,
21MH1A04F7,R2031044,ANALOG ICS AND APPLICATIONS LAB,15,A+,1.5,
21MH1A04F7,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04F7,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04F7,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04F7,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04F7,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,19,C,3,
21MH1A04F7,R203105L,OPERATING SYSTEMS,27,B,3,
21MH1A04F8,R2031041,ANALOG ICS AND APPLICATIONS,24,C,3,
21MH1A04F8,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,27,D,3,
21MH1A04F8,R2031043,DIGITAL COMMUNICATIONS,28,F,0,
21MH1A04F8,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04F8,R2031045,DIGITAL COMMUNICATIONS LAB,14,A+,1.5,
21MH1A04F8,R2031046,DATA STRUCTURES USING JAVA LAB,0,B,2,
21MH1A04F8,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04F8,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04F8,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,C,3,
21MH1A04F8,R203105L,OPERATING SYSTEMS,26,B,3,
21MH1A04F9,R2031041,ANALOG ICS AND APPLICATIONS,21,D,3,
21MH1A04F9,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04F9,R2031043,DIGITAL COMMUNICATIONS,27,F,0,
21MH1A04F9,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04F9,R2031045,DIGITAL COMMUNICATIONS LAB,13,A+,1.5,
21MH1A04F9,R2031046,DATA STRUCTURES USING JAVA LAB,0,A,2,
21MH1A04F9,R2031047,INDIAN TRADITIONAL KNOWLEDGE,29,COMPLE,0,
21MH1A04F9,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04F9,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,23,B,3,
21MH1A04F9,R203105L,OPERATING SYSTEMS,27,A,3,
21MH1A04G0,R2031041,ANALOG ICS AND APPLICATIONS,21,D,3,
21MH1A04G0,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,D,3,
21MH1A04G0,R2031043,DIGITAL COMMUNICATIONS,25,B,3,
21MH1A04G0,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04G0,R2031045,DIGITAL COMMUNICATIONS LAB,13,A,1.5,
21MH1A04G0,R2031046,DATA STRUCTURES USING JAVA LAB,0,A,2,
21MH1A04G0,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04G0,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04G0,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,D,3,
21MH1A04G0,R203105L,OPERATING SYSTEMS,25,C,3,
21MH1A04G1,R2031041,ANALOG ICS AND APPLICATIONS,21,C,3,
21MH1A04G1,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,28,B,3,
21MH1A04G1,R2031043,DIGITAL COMMUNICATIONS,28,C,3,
21MH1A04G1,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04G1,R2031045,DIGITAL COMMUNICATIONS LAB,14,A+,1.5,
21MH1A04G1,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04G1,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04G1,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04G1,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,19,D,3,
21MH1A04G1,R203105L,OPERATING SYSTEMS,23,C,3,
21MH1A04G2,R2031041,ANALOG ICS AND APPLICATIONS,22,C,3,
21MH1A04G2,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,27,D,3,
21MH1A04G2,R2031043,DIGITAL COMMUNICATIONS,25,F,0,
21MH1A04G2,R2031044,ANALOG ICS AND APPLICATIONS LAB,13,A,1.5,
21MH1A04G2,R2031045,DIGITAL COMMUNICATIONS LAB,13,A,1.5,
21MH1A04G2,R2031046,DATA STRUCTURES USING JAVA LAB,0,A,2,
21MH1A04G2,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04G2,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04G2,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,22,C,3,
21MH1A04G2,R203105L,OPERATING SYSTEMS,24,C,3,
21MH1A04G3,R2031041,ANALOG ICS AND APPLICATIONS,27,C,3,
21MH1A04G3,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04G3,R2031043,DIGITAL COMMUNICATIONS,27,C,3,
21MH1A04G3,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04G3,R2031045,DIGITAL COMMUNICATIONS LAB,13,A+,1.5,
21MH1A04G3,R2031046,DATA STRUCTURES USING JAVA LAB,0,A,2,
21MH1A04G3,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04G3,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04G3,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,B,3,
21MH1A04G3,R203105L,OPERATING SYSTEMS,24,D,3,
21MH1A04G4,R2031041,ANALOG ICS AND APPLICATIONS,11,F,0,
21MH1A04G4,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,16,F,0,
21MH1A04G4,R2031043,DIGITAL COMMUNICATIONS,9,F,0,
21MH1A04G4,R2031044,ANALOG ICS AND APPLICATIONS LAB,11,D,1.5,
21MH1A04G4,R2031045,DIGITAL COMMUNICATIONS LAB,11,ABSENT,0,
21MH1A04G4,R2031046,DATA STRUCTURES USING JAVA LAB,0,ABSENT,0,
21MH1A04G4,R2031047,INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0,
21MH1A04G4,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,C,1.5,
21MH1A04G4,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,13,F,0,
21MH1A04G4,R203105L,OPERATING SYSTEMS,22,D,3,
21MH1A04G5,R2031041,ANALOG ICS AND APPLICATIONS,22,D,3,
21MH1A04G5,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04G5,R2031043,DIGITAL COMMUNICATIONS,24,B,3,
21MH1A04G5,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04G5,R2031045,DIGITAL COMMUNICATIONS LAB,13,A+,1.5,
21MH1A04G5,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04G5,R2031047,INDIAN TRADITIONAL KNOWLEDGE,29,COMPLE,0,
21MH1A04G5,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04G5,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,C,3,
21MH1A04G5,R203105L,OPERATING SYSTEMS,23,D,3,
21MH1A04G6,R2031041,ANALOG ICS AND APPLICATIONS,19,E,3,
21MH1A04G6,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,25,F,0,
21MH1A04G6,R2031043,DIGITAL COMMUNICATIONS,23,E,3,
21MH1A04G6,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04G6,R2031045,DIGITAL COMMUNICATIONS LAB,12,B,1.5,
21MH1A04G6,R2031046,DATA STRUCTURES USING JAVA LAB,0,B,2,
21MH1A04G6,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04G6,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,C,1.5,
21MH1A04G6,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,14,F,0,
21MH1A04G6,R203105L,OPERATING SYSTEMS,20,D,3,
21MH1A04G7,R2031041,ANALOG ICS AND APPLICATIONS,23,C,3,
21MH1A04G7,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,30,B,3,
21MH1A04G7,R2031043,DIGITAL COMMUNICATIONS,26,C,3,
21MH1A04G7,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04G7,R2031045,DIGITAL COMMUNICATIONS LAB,14,A+,1.5,
21MH1A04G7,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04G7,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04G7,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04G7,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,C,3,
21MH1A04G7,R203105L,OPERATING SYSTEMS,24,C,3,
21MH1A04G8,R2031041,ANALOG ICS AND APPLICATIONS,17,D,3,
21MH1A04G8,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,24,C,3,
21MH1A04G8,R2031043,DIGITAL COMMUNICATIONS,19,E,3,
21MH1A04G8,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04G8,R2031045,DIGITAL COMMUNICATIONS LAB,12,B,1.5,
21MH1A04G8,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04G8,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04G8,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,B,1.5,
21MH1A04G8,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,16,B,3,
21MH1A04G8,R203105L,OPERATING SYSTEMS,22,D,3,
21MH1A04G9,R2031041,ANALOG ICS AND APPLICATIONS,18,D,3,
21MH1A04G9,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,26,C,3,
21MH1A04G9,R2031043,DIGITAL COMMUNICATIONS,22,C,3,
21MH1A04G9,R2031044,ANALOG ICS AND APPLICATIONS LAB,12,A,1.5,
21MH1A04G9,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04G9,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04G9,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04G9,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04G9,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,17,E,3,
21MH1A04G9,R203105L,OPERATING SYSTEMS,25,D,3,
21MH1A04H0,R2031041,ANALOG ICS AND APPLICATIONS,20,D,3,
21MH1A04H0,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,28,C,3,
21MH1A04H0,R2031043,DIGITAL COMMUNICATIONS,16,F,0,
21MH1A04H0,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04H0,R2031045,DIGITAL COMMUNICATIONS LAB,12,A,1.5,
21MH1A04H0,R2031046,DATA STRUCTURES USING JAVA LAB,0,A,2,
21MH1A04H0,R2031047,INDIAN TRADITIONAL KNOWLEDGE,25,COMPLE,0,
21MH1A04H0,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A04H0,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,C,3,
21MH1A04H0,R203105L,OPERATING SYSTEMS,22,D,3,
21MH1A04H1,R2031041,ANALOG ICS AND APPLICATIONS,24,C,3,
21MH1A04H1,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04H1,R2031043,DIGITAL COMMUNICATIONS,26,B,3,
21MH1A04H1,R2031044,ANALOG ICS AND APPLICATIONS LAB,15,A+,1.5,
21MH1A04H1,R2031045,DIGITAL COMMUNICATIONS LAB,15,A+,1.5,
21MH1A04H1,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04H1,R2031047,INDIAN TRADITIONAL KNOWLEDGE,26,COMPLE,0,
21MH1A04H1,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04H1,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,21,B,3,
21MH1A04H1,R203105L,OPERATING SYSTEMS,25,C,3,
21MH1A04H2,R2031041,ANALOG ICS AND APPLICATIONS,25,D,3,
21MH1A04H2,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,28,D,3,
21MH1A04H2,R2031043,DIGITAL COMMUNICATIONS,26,B,3,
21MH1A04H2,R2031044,ANALOG ICS AND APPLICATIONS LAB,14,A+,1.5,
21MH1A04H2,R2031045,DIGITAL COMMUNICATIONS LAB,14,A+,1.5,
21MH1A04H2,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04H2,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04H2,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04H2,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,24,C,3,
21MH1A04H2,R203105L,OPERATING SYSTEMS,22,C,3,
21MH1A04H3,R2031041,ANALOG ICS AND APPLICATIONS,23,B,3,
21MH1A04H3,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04H3,R2031043,DIGITAL COMMUNICATIONS,28,B,3,
21MH1A04H3,R2031044,ANALOG ICS AND APPLICATIONS LAB,15,A+,1.5,
21MH1A04H3,R2031045,DIGITAL COMMUNICATIONS LAB,13,A+,1.5,
21MH1A04H3,R2031046,DATA STRUCTURES USING JAVA LAB,0,A+,2,
21MH1A04H3,R2031047,INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0,
21MH1A04H3,R2031048,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A04H3,R203104B,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,17,D,3,
21MH1A04H3,R203105L,OPERATING SYSTEMS,24,C,3,
21MH1A04H4,R2031041,ANALOG ICS AND APPLICATIONS,26,B,3,
21MH1A04H4,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,29,C,3,
21MH1A04H4,R2031043,DIGITAL COMMUNICATIONS,28,D,3,
