,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
19MH1A04B4,R1931043,DIGITAL COMMUNICATIONS,19,ABSENT,0,
19MH1A04B6,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,18,D,3,
19MH1A04B6,R1931043,DIGITAL COMMUNICATIONS,16,F,0,
19MH1A04D3,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,16,D,3,
19MH1A04D3,R1931043,DIGITAL COMMUNICATIONS,13,F,0,
19MH1A04D3,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,18,F,0,
19MH1A04D4,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,13,C,3,
19MH1A04E0,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,15,D,3,
19MH1A04E0,R1931043,DIGITAL COMMUNICATIONS,14,F,0,
19MH1A04E0,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,14,F,0,
19MH1A04E1,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,16,B,3,
19MH1A04E1,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,17,F,0,
19MH1A04E5,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,16,D,3,
19MH1A04F1,R1931043,DIGITAL COMMUNICATIONS,13,D,3,
19MH1A04F7,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,14,F,0,
19MH1A04F7,R1931043,DIGITAL COMMUNICATIONS,15,F,0,
19MH1A04F7,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,18,F,0,
19MH1A04F8,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,19,F,0,
19MH1A04F8,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,18,C,3,
19MH1A04G3,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,13,ABSENT,0,
19MH1A04G9,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,11,F,0,
19MH1A04G9,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,13,F,0,
19MH1A04I2,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,18,F,0,
19MH1A04I4,R1931043,DIGITAL COMMUNICATIONS,16,F,0,
19MH1A04I7,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,16,F,0,
19MH1A04I7,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,12,F,0,
19MH1A04I7,R1931043,DIGITAL COMMUNICATIONS,15,F,0,
19MH1A04I7,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,17,F,0,
19MH1A04J4,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,20,F,0,
19MH1A04J4,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,15,F,0,
19MH1A04J4,R1931043,DIGITAL COMMUNICATIONS,14,F,0,
19MH1A04J4,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,16,F,0,
19MH1A0542,R1931054,ARTIFICIAL INTELLIGENCE,18,C,3,
19MH1A0572,R1931054,ARTIFICIAL INTELLIGENCE,18,F,0,
19MH1A0587,R1931051,DATA WAREHOUSING AND DATA MINING,17,D,3,
19MH1A0587,R1931054,ARTIFICIAL INTELLIGENCE,18,C,3,
19MH1A0592,R1931053,COMPILER DESIGN,17,ABSENT,0,
19MH1A0592,R1931054,ARTIFICIAL INTELLIGENCE,15,ABSENT,0,
19MH1A0593,R1931051,DATA WAREHOUSING AND DATA MINING,17,D,3,
19MH1A0593,R1931052,COMPUTER NETWORKS,15,D,3,
19MH1A0593,R1931054,ARTIFICIAL INTELLIGENCE,14,D,3,
19MH1A0597,R1931052,COMPUTER NETWORKS,17,F,0,
19MH1A0597,R1931053,COMPILER DESIGN,15,F,0,
19MH1A0597,R1931054,ARTIFICIAL INTELLIGENCE,18,F,0,
19MH1A0597,R193105B,PRINCIPLES OF PROGRAMMING LANGUAGES,13,F,0,
19MH1A05A5,R1931053,COMPILER DESIGN,15,D,3,
19MH1A05B6,R1931052,COMPUTER NETWORKS,13,F,0,
19MH1A2703,R1931271,PROCESS DYNAMICS & CONTROL,16,ABSENT,0,
19MH1A2706,R1931271,PROCESS DYNAMICS & CONTROL,20,F,0,
19MH5A0203,R1631021,POWER SYSTEMS-II,20,ABSENT,0,
19MH5A0203,R1631023,SIGNALS AND SYSTEMS,19,F,0,
19MH5A0321,R1631033,DESIGN OF MACHINE MEMBERS-II,19,F,0,
19MH5A0321,R1631034,OPERATIONS RESEARCH,20,F,0,
19MH5A0404,R1631045,ANTENNA AND WAVE PROPAGATION,22,F,0,
19MH5A0432,R1631041,COMPUTER ARCHITECTURE AND ORGANIZATION,16,ABSENT,0,
20MH1A0102,R2031013,GEOTECHNICAL ENGINEERING-1,14,E,3,
20MH1A0102,R203101B,REMOTE SENSING AND GIS,12,F,0,
20MH1A0102,R203102F,RENEWABLE ENERGY SOURCES,15,F,0,
