JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,,,,,
"Result of I B.Tech II Semester (R19/R20) Regular/Supplementary Examinations, August-2022",,,,,
,College name: ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY:P3,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits
19P31A04O1,R19ES1209,NETWORK ANALYSIS,14,ABSENT,0
19P31A04O2,R19ES1211,BASIC ELECTRICAL ENGINEERING,15,D,3
19P31A04O3,R19BS1202,MATHEMATICS-II,13,F,0
19P31A04O3,R19BS1203,MATHEMATICS-III,14,F,0
19P31A04O3,R19ES1209,NETWORK ANALYSIS,14,F,0
19P31A04O3,R19ES1211,BASIC ELECTRICAL ENGINEERING,14,F,0
19P31A04O9,R19BS1203,MATHEMATICS-III,15,C,3
19P31A04P2,R19BS1203,MATHEMATICS-III,18,D,3
19P31A0519,R19BS1203,MATHEMATICS-III,15,F,0
19P31A0519,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,13,D,3
19P31A0519,R19ES1213,DIGITAL LOGIC DESIGN,14,C,3
19P31A0522,R19BS1203,MATHEMATICS-III,19,F,0
Htno,Subcode,Subname,Internals,Grade,Credits
19P31A0523,R19BS1203,MATHEMATICS-III,18,F,0
19P31A0526,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,D,3
19P31A0527,R19BS1203,MATHEMATICS-III,15,F,0
19P31A0547,R19BS1203,MATHEMATICS-III,17,F,0
19P31A0547,R19BS1204,APPLIED PHYSICS,19,ABSENT,0
19P31A0547,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,14,F,0
19P31A0547,R19ES1213,DIGITAL LOGIC DESIGN,17,F,0
19P31A0552,R19BS1203,MATHEMATICS-III,17,F,0
19P31A0552,R19BS1204,APPLIED PHYSICS,19,F,0
19P31A0565,R19BS1204,APPLIED PHYSICS,16,F,0
19P31A0566,R19BS1203,MATHEMATICS-III,17,F,0
19P31A0576,R19ES1213,DIGITAL LOGIC DESIGN,17,ABSENT,0
19P31A0582,R19BS1203,MATHEMATICS-III,14,ABSENT,0
19P31A0582,R19ES1213,DIGITAL LOGIC DESIGN,13,ABSENT,0
19P31A0584,R19BS1203,MATHEMATICS-III,19,F,0
19P31A0592,R19BS1203,MATHEMATICS-III,12,F,0
19P31A0592,R19ES1213,DIGITAL LOGIC DESIGN,11,F,0
19P31A0595,R19BS1203,MATHEMATICS-III,18,F,0
19P31A0595,R19BS1204,APPLIED PHYSICS,15,F,0
19P31A0596,R19BS1202,MATHEMATICS-II,13,F,0
19P31A0596,R19BS1203,MATHEMATICS-III,17,F,0
19P31A0596,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,F,0
19P31A0596,R19ES1213,DIGITAL LOGIC DESIGN,13,F,0
19P31A0597,R19BS1203,MATHEMATICS-III,16,F,0
19P31A05A9,R19BS1203,MATHEMATICS-III,17,F,0
19P31A05B1,R19BS1203,MATHEMATICS-III,17,F,0
19P31A05B3,R19BS1204,APPLIED PHYSICS,17,F,0
19P31A05B3,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,17,F,0
19P31A05B3,R19ES1213,DIGITAL LOGIC DESIGN,12,ABSENT,0
19P31A05B7,R19BS1203,MATHEMATICS-III,16,F,0
19P31A05B7,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0
19P31A05B7,R19ES1213,DIGITAL LOGIC DESIGN,11,F,0
19P31A05B8,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,F,0
19P31A05B8,R19ES1213,DIGITAL LOGIC DESIGN,14,F,0
19P31A05B9,R19BS1202,MATHEMATICS-II,5,ABSENT,0
19P31A05B9,R19BS1203,MATHEMATICS-III,15,F,0
19P31A05C2,R19BS1203,MATHEMATICS-III,14,F,0
19P31A05C3,R19BS1203,MATHEMATICS-III,17,F,0
19P31A05C3,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,14,F,0
19P31A05C3,R19ES1213,DIGITAL LOGIC DESIGN,11,F,0
19P31A1202,R19BS1203,MATHEMATICS-III,18,F,0
19P31A1202,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,C,3
19P31A1219,R19BS1203,MATHEMATICS-III,17,F,0
19P31A1219,R19BS1204,APPLIED PHYSICS,11,F,0
19P31A1219,R19ES1213,DIGITAL LOGIC DESIGN,13,F,0
19P31A1222,R19BS1203,MATHEMATICS-III,18,F,0
19P31A1227,R19BS1203,MATHEMATICS-III,9,F,0
19P31A1227,R19ES1213,DIGITAL LOGIC DESIGN,12,F,0
19P31A1228,R19BS1203,MATHEMATICS-III,12,F,0
19P31A1228,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,14,F,0
19P31A1228,R19ES1213,DIGITAL LOGIC DESIGN,11,D,3
Htno,Subcode,Subname,Internals,Grade,Credits
19P31A1229,R19BS1203,MATHEMATICS-III,15,F,0
19P31A1244,R19BS1203,MATHEMATICS-III,12,F,0
19P31A1244,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0
19P31A1244,R19ES1213,DIGITAL LOGIC DESIGN,15,D,3
19P31A1245,R19BS1203,MATHEMATICS-III,15,F,0
19P31A1249,R19BS1203,MATHEMATICS-III,18,F,0
19P31A1252,R19BS1203,MATHEMATICS-III,16,F,0
19P31A1258,R19BS1203,MATHEMATICS-III,18,F,0
20MD1A0535,R201216,COMPUTER ORGANIZATION,20,C,3
20P31A0101,R201203,ENGINEERING MECHANICS,17,F,0
20P31A0101,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,14,E,3
20P31A0103,R201201,MATHEMATICS-II,12,F,0
20P31A0103,R201202,ENGINEERING CHEMISTRY,14,F,0
20P31A0103,R201203,ENGINEERING MECHANICS,21,F,0
20P31A0104,R201203,ENGINEERING MECHANICS,22,F,0
20P31A0104,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,E,3
20P31A0104,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,14,F,0
20P31A0105,R201202,ENGINEERING CHEMISTRY,16,F,0
20P31A0105,R201203,ENGINEERING MECHANICS,21,F,0
20P31A0106,R201201,MATHEMATICS-II,17,F,0
20P31A0106,R201202,ENGINEERING CHEMISTRY,15,F,0
20P31A0106,R201203,ENGINEERING MECHANICS,21,F,0
20P31A0107,R201201,MATHEMATICS-II,20,F,0
20P31A0107,R201202,ENGINEERING CHEMISTRY,12,F,0
20P31A0108,R201202,ENGINEERING CHEMISTRY,14,F,0
20P31A0108,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,10,F,0
20P31A0110,R201201,MATHEMATICS-II,12,F,0
20P31A0110,R201202,ENGINEERING CHEMISTRY,12,F,0
20P31A0110,R201203,ENGINEERING MECHANICS,22,F,0
20P31A0110,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0
20P31A0110,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,20,ABSENT,0
20P31A0111,R201201,MATHEMATICS-II,13,F,0
20P31A0111,R201202,ENGINEERING CHEMISTRY,9,F,0
20P31A0111,R201203,ENGINEERING MECHANICS,19,F,0
20P31A0111,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,11,F,0
20P31A0111,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,11,F,0
20P31A0115,R201201,MATHEMATICS-II,12,F,0
20P31A0115,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,8,F,0
20P31A0115,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,9,F,0
20P31A0120,R201201,MATHEMATICS-II,16,F,0
