JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,,,,,
"Result of I B.Tech II Semester (R19/R20) Regular/Supplementary Examinations, August-2022",,,,,
,College name: ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY:P3,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0308,R201235,WORKSHOP PRACTICE LABORATORY,11,A,1.5
21P31A0308,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,A,1.5
21P31A0308,R201254,THERMODYNAMICS,14,F,0
21P31A0309,R201201,MATHEMATICS-II,23,B,3
21P31A0309,R201202,ENGINEERING CHEMISTRY,20,D,3
21P31A0309,R201210,ENGINEERING MECHANICS,20,D,3
21P31A0309,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,20,D,3
21P31A0309,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0309,R201231,ENGINEERING CHEMISTRY LABORATORY,15,A+,1.5
21P31A0309,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0309,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,A,1.5
21P31A0309,R201254,THERMODYNAMICS,24,D,3
21P31A0310,R201201,MATHEMATICS-II,18,F,0
21P31A0310,R201202,ENGINEERING CHEMISTRY,16,F,0
21P31A0310,R201210,ENGINEERING MECHANICS,14,F,0
21P31A0310,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,16,F,0
21P31A0310,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0310,R201231,ENGINEERING CHEMISTRY LABORATORY,10,B,1.5
21P31A0310,R201235,WORKSHOP PRACTICE LABORATORY,11,A,1.5
21P31A0310,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,A,1.5
21P31A0310,R201254,THERMODYNAMICS,16,F,0
21P31A0311,R201201,MATHEMATICS-II,18,F,0
21P31A0311,R201202,ENGINEERING CHEMISTRY,14,F,0
21P31A0311,R201210,ENGINEERING MECHANICS,16,D,3
21P31A0311,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,13,D,3
21P31A0311,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0311,R201231,ENGINEERING CHEMISTRY LABORATORY,12,A,1.5
21P31A0311,R201235,WORKSHOP PRACTICE LABORATORY,13,A+,1.5
21P31A0311,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,A,1.5
21P31A0311,R201254,THERMODYNAMICS,21,D,3
21P31A0312,R201201,MATHEMATICS-II,17,F,0
21P31A0312,R201202,ENGINEERING CHEMISTRY,13,F,0
21P31A0312,R201210,ENGINEERING MECHANICS,16,F,0
21P31A0312,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,11,F,0
21P31A0312,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0312,R201231,ENGINEERING CHEMISTRY LABORATORY,9,B,1.5
21P31A0312,R201235,WORKSHOP PRACTICE LABORATORY,13,A,1.5
21P31A0312,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,10,C,1.5
21P31A0312,R201254,THERMODYNAMICS,17,F,0
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0313,R201201,MATHEMATICS-II,17,E,3
21P31A0313,R201202,ENGINEERING CHEMISTRY,16,F,0
21P31A0313,R201210,ENGINEERING MECHANICS,19,F,0
21P31A0313,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,17,F,0
21P31A0313,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0313,R201231,ENGINEERING CHEMISTRY LABORATORY,12,A,1.5
21P31A0313,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0313,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,B,1.5
21P31A0313,R201254,THERMODYNAMICS,19,F,0
21P31A0314,R201201,MATHEMATICS-II,17,F,0
21P31A0314,R201202,ENGINEERING CHEMISTRY,15,F,0
21P31A0314,R201210,ENGINEERING MECHANICS,17,F,0
21P31A0314,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,18,F,0
21P31A0314,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0314,R201231,ENGINEERING CHEMISTRY LABORATORY,13,A,1.5
21P31A0314,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0314,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,B,1.5
21P31A0314,R201254,THERMODYNAMICS,20,F,0
21P31A0315,R201201,MATHEMATICS-II,21,F,0
21P31A0315,R201202,ENGINEERING CHEMISTRY,11,F,0
21P31A0315,R201210,ENGINEERING MECHANICS,17,F,0
21P31A0315,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,14,F,0
21P31A0315,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0315,R201231,ENGINEERING CHEMISTRY LABORATORY,12,A,1.5
21P31A0315,R201235,WORKSHOP PRACTICE LABORATORY,13,A+,1.5
21P31A0315,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,B,1.5
21P31A0315,R201254,THERMODYNAMICS,15,F,0
21P31A0316,R201201,MATHEMATICS-II,21,F,0
21P31A0316,R201202,ENGINEERING CHEMISTRY,17,E,3
21P31A0316,R201210,ENGINEERING MECHANICS,18,E,3
21P31A0316,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,19,D,3
21P31A0316,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0316,R201231,ENGINEERING CHEMISTRY LABORATORY,13,ABSENT,0
21P31A0316,R201235,WORKSHOP PRACTICE LABORATORY,11,ABSENT,0
21P31A0316,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,ABSENT,0
21P31A0316,R201254,THERMODYNAMICS,22,F,0
21P31A0317,R201201,MATHEMATICS-II,16,F,0
21P31A0317,R201202,ENGINEERING CHEMISTRY,14,E,3
21P31A0317,R201210,ENGINEERING MECHANICS,17,F,0
21P31A0317,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,16,F,0
21P31A0317,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0317,R201231,ENGINEERING CHEMISTRY LABORATORY,14,A+,1.5
21P31A0317,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0317,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,B,1.5
21P31A0317,R201254,THERMODYNAMICS,19,F,0
21P31A0318,R201201,MATHEMATICS-II,13,F,0
21P31A0318,R201202,ENGINEERING CHEMISTRY,15,F,0
21P31A0318,R201210,ENGINEERING MECHANICS,16,F,0
21P31A0318,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,12,F,0
21P31A0318,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0318,R201231,ENGINEERING CHEMISTRY LABORATORY,12,A,1.5
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0318,R201235,WORKSHOP PRACTICE LABORATORY,10,A,1.5
21P31A0318,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,C,1.5
21P31A0318,R201254,THERMODYNAMICS,17,F,0
21P31A0319,R201201,MATHEMATICS-II,17,F,0
21P31A0319,R201202,ENGINEERING CHEMISTRY,16,F,0
21P31A0319,R201210,ENGINEERING MECHANICS,15,F,0
21P31A0319,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,15,F,0
21P31A0319,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0319,R201231,ENGINEERING CHEMISTRY LABORATORY,14,A+,1.5
21P31A0319,R201235,WORKSHOP PRACTICE LABORATORY,13,A+,1.5
21P31A0319,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,A,1.5
21P31A0319,R201254,THERMODYNAMICS,18,F,0
21P31A0320,R201201,MATHEMATICS-II,18,E,3
21P31A0320,R201202,ENGINEERING CHEMISTRY,18,E,3
21P31A0320,R201210,ENGINEERING MECHANICS,17,F,0
21P31A0320,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,16,F,0
21P31A0320,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0320,R201231,ENGINEERING CHEMISTRY LABORATORY,15,A+,1.5
21P31A0320,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0320,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,A,1.5
21P31A0320,R201254,THERMODYNAMICS,22,F,0
21P31A0321,R201201,MATHEMATICS-II,18,E,3
21P31A0321,R201202,ENGINEERING CHEMISTRY,17,F,0
21P31A0321,R201210,ENGINEERING MECHANICS,16,F,0
21P31A0321,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,14,F,0
21P31A0321,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0321,R201231,ENGINEERING CHEMISTRY LABORATORY,14,A+,1.5
21P31A0321,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0321,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,B,1.5
21P31A0321,R201254,THERMODYNAMICS,18,F,0
21P31A0322,R201201,MATHEMATICS-II,18,E,3
21P31A0322,R201202,ENGINEERING CHEMISTRY,14,F,0
21P31A0322,R201210,ENGINEERING MECHANICS,19,F,0
21P31A0322,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,16,F,0
21P31A0322,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0322,R201231,ENGINEERING CHEMISTRY LABORATORY,13,A+,1.5
21P31A0322,R201235,WORKSHOP PRACTICE LABORATORY,11,A,1.5
21P31A0322,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,11,B,1.5
21P31A0322,R201254,THERMODYNAMICS,17,F,0
21P31A0323,R201201,MATHEMATICS-II,13,E,3
21P31A0323,R201202,ENGINEERING CHEMISTRY,12,F,0
21P31A0323,R201210,ENGINEERING MECHANICS,13,F,0
21P31A0323,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,17,E,3
21P31A0323,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0323,R201231,ENGINEERING CHEMISTRY LABORATORY,10,A,1.5
21P31A0323,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0323,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,A,1.5
21P31A0323,R201254,THERMODYNAMICS,20,F,0
21P31A0324,R201201,MATHEMATICS-II,20,E,3
21P31A0324,R201202,ENGINEERING CHEMISTRY,15,F,0
21P31A0324,R201210,ENGINEERING MECHANICS,18,E,3
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0324,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,13,F,0
21P31A0324,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0324,R201231,ENGINEERING CHEMISTRY LABORATORY,14,A,1.5
21P31A0324,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0324,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,A,1.5
21P31A0324,R201254,THERMODYNAMICS,19,D,3
21P31A0325,R201201,MATHEMATICS-II,15,E,3
21P31A0325,R201202,ENGINEERING CHEMISTRY,17,F,0
21P31A0325,R201210,ENGINEERING MECHANICS,16,D,3
21P31A0325,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,18,F,0
21P31A0325,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0325,R201231,ENGINEERING CHEMISTRY LABORATORY,13,A+,1.5
21P31A0325,R201235,WORKSHOP PRACTICE LABORATORY,11,A,1.5
21P31A0325,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,C,1.5
21P31A0325,R201254,THERMODYNAMICS,20,D,3
21P31A0326,R201201,MATHEMATICS-II,22,D,3
21P31A0326,R201202,ENGINEERING CHEMISTRY,18,D,3
21P31A0326,R201210,ENGINEERING MECHANICS,19,E,3
21P31A0326,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,21,E,3
21P31A0326,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0326,R201231,ENGINEERING CHEMISTRY LABORATORY,14,A+,1.5
21P31A0326,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0326,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,A,1.5
21P31A0326,R201254,THERMODYNAMICS,24,D,3
21P31A0327,R201201,MATHEMATICS-II,22,C,3
21P31A0327,R201202,ENGINEERING CHEMISTRY,18,D,3
21P31A0327,R201210,ENGINEERING MECHANICS,18,D,3
21P31A0327,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,20,C,3
21P31A0327,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0327,R201231,ENGINEERING CHEMISTRY LABORATORY,15,A+,1.5
21P31A0327,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0327,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,A,1.5
21P31A0327,R201254,THERMODYNAMICS,24,E,3
21P31A0328,R201201,MATHEMATICS-II,25,B,3
21P31A0328,R201202,ENGINEERING CHEMISTRY,22,C,3
21P31A0328,R201210,ENGINEERING MECHANICS,18,F,0
21P31A0328,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,11,D,3
21P31A0328,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0328,R201231,ENGINEERING CHEMISTRY LABORATORY,13,A+,1.5
21P31A0328,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0328,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,11,B,1.5
21P31A0328,R201254,THERMODYNAMICS,20,E,3
21P31A0329,R201201,MATHEMATICS-II,21,D,3
21P31A0329,R201202,ENGINEERING CHEMISTRY,21,D,3
21P31A0329,R201210,ENGINEERING MECHANICS,15,E,3
21P31A0329,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,20,E,3
21P31A0329,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0329,R201231,ENGINEERING CHEMISTRY LABORATORY,13,A+,1.5
21P31A0329,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0329,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,B,1.5
21P31A0329,R201254,THERMODYNAMICS,22,D,3
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0330,R201201,MATHEMATICS-II,16,F,0
21P31A0330,R201202,ENGINEERING CHEMISTRY,12,F,0
21P31A0330,R201210,ENGINEERING MECHANICS,13,F,0
21P31A0330,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,9,F,0
21P31A0330,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0330,R201231,ENGINEERING CHEMISTRY LABORATORY,12,A+,1.5
21P31A0330,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0330,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,11,B,1.5
21P31A0330,R201254,THERMODYNAMICS,19,F,0
21P31A0331,R201201,MATHEMATICS-II,19,F,0
21P31A0331,R201202,ENGINEERING CHEMISTRY,17,E,3
21P31A0331,R201210,ENGINEERING MECHANICS,16,E,3
21P31A0331,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,19,F,0
21P31A0331,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0331,R201231,ENGINEERING CHEMISTRY LABORATORY,13,A,1.5
21P31A0331,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0331,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,C,1.5
21P31A0331,R201254,THERMODYNAMICS,22,F,0
21P31A0332,R201201,MATHEMATICS-II,18,E,3
21P31A0332,R201202,ENGINEERING CHEMISTRY,14,F,0
21P31A0332,R201210,ENGINEERING MECHANICS,20,F,0
21P31A0332,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,16,F,0
21P31A0332,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0332,R201231,ENGINEERING CHEMISTRY LABORATORY,14,A,1.5
21P31A0332,R201235,WORKSHOP PRACTICE LABORATORY,15,A+,1.5
21P31A0332,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,11,C,1.5
21P31A0332,R201254,THERMODYNAMICS,18,F,0
21P31A0333,R201201,MATHEMATICS-II,17,F,0
21P31A0333,R201202,ENGINEERING CHEMISTRY,14,F,0
21P31A0333,R201210,ENGINEERING MECHANICS,9,F,0
21P31A0333,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,8,F,0
21P31A0333,R201229,CONSTITUTION OF INDIA,0,COMPLE,0
21P31A0333,R201231,ENGINEERING CHEMISTRY LABORATORY,12,A,1.5
21P31A0333,R201235,WORKSHOP PRACTICE LABORATORY,12,A,1.5
21P31A0333,R201236,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,9,B,1.5
21P31A0333,R201254,THERMODYNAMICS,12,F,0
21P31A0401,R201201,MATHEMATICS-II,24,E,3
21P31A0401,R201207,APPLIED PHYSICS,21,C,3
21P31A0401,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,D,3
21P31A0401,R201213,NETWORK ANALYSIS,21,D,3
21P31A0401,R201214,BASIC ELECTRICAL ENGINEERING,23,F,0
21P31A0401,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0401,R201233,APPLIED PHYSICS LABORATORY,12,A,1.5
21P31A0401,R201237,ELECTRONIC WORKSHOP LABORATORY,10,A,1.5
21P31A0401,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A,1.5
21P31A0402,R201201,MATHEMATICS-II,17,E,3
21P31A0402,R201207,APPLIED PHYSICS,20,F,0
21P31A0402,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,E,3
21P31A0402,R201213,NETWORK ANALYSIS,14,F,0
21P31A0402,R201214,BASIC ELECTRICAL ENGINEERING,20,E,3
21P31A0402,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0402,R201233,APPLIED PHYSICS LABORATORY,11,A,1.5
21P31A0402,R201237,ELECTRONIC WORKSHOP LABORATORY,10,B,1.5
21P31A0402,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A+,1.5
21P31A0403,R201201,MATHEMATICS-II,19,F,0
21P31A0403,R201207,APPLIED PHYSICS,10,F,0
21P31A0403,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,16,F,0
21P31A0403,R201213,NETWORK ANALYSIS,17,F,0
21P31A0403,R201214,BASIC ELECTRICAL ENGINEERING,16,F,0
21P31A0403,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0403,R201233,APPLIED PHYSICS LABORATORY,11,B,1.5
21P31A0403,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A0403,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,B,1.5
21P31A0404,R201201,MATHEMATICS-II,20,F,0
21P31A0404,R201207,APPLIED PHYSICS,15,E,3
21P31A0404,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,E,3
21P31A0404,R201213,NETWORK ANALYSIS,18,F,0
21P31A0404,R201214,BASIC ELECTRICAL ENGINEERING,22,F,0
21P31A0404,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0404,R201233,APPLIED PHYSICS LABORATORY,11,B,1.5
21P31A0404,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A0404,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,B,1.5
21P31A0405,R201201,MATHEMATICS-II,15,C,3
21P31A0405,R201207,APPLIED PHYSICS,20,F,0
21P31A0405,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,21,E,3
21P31A0405,R201213,NETWORK ANALYSIS,17,E,3
21P31A0405,R201214,BASIC ELECTRICAL ENGINEERING,22,C,3
21P31A0405,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0405,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
21P31A0405,R201237,ELECTRONIC WORKSHOP LABORATORY,12,A,1.5
21P31A0405,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,12,B,1.5
21P31A0406,R201201,MATHEMATICS-II,20,C,3
21P31A0406,R201207,APPLIED PHYSICS,21,F,0
21P31A0406,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,E,3
21P31A0406,R201213,NETWORK ANALYSIS,18,B,3
21P31A0406,R201214,BASIC ELECTRICAL ENGINEERING,25,F,0
21P31A0406,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0406,R201233,APPLIED PHYSICS LABORATORY,12,A,1.5
21P31A0406,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A0406,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,B,1.5
21P31A0407,R201201,MATHEMATICS-II,18,E,3
21P31A0407,R201207,APPLIED PHYSICS,19,E,3
21P31A0407,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,16,F,0
21P31A0407,R201213,NETWORK ANALYSIS,15,F,0
21P31A0407,R201214,BASIC ELECTRICAL ENGINEERING,23,F,0
21P31A0407,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0407,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A0407,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A,1.5
21P31A0407,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,B,1.5
21P31A0408,R201201,MATHEMATICS-II,12,F,0
21P31A0408,R201207,APPLIED PHYSICS,12,F,0
21P31A0408,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,12,F,0
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0408,R201213,NETWORK ANALYSIS,15,F,0
21P31A0408,R201214,BASIC ELECTRICAL ENGINEERING,13,F,0
21P31A0408,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0408,R201233,APPLIED PHYSICS LABORATORY,10,ABSENT,0
21P31A0408,R201237,ELECTRONIC WORKSHOP LABORATORY,8,ABSENT,0
21P31A0408,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,ABSENT,0
21P31A0409,R201201,MATHEMATICS-II,20,E,3
21P31A0409,R201207,APPLIED PHYSICS,19,E,3
21P31A0409,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,20,E,3
21P31A0409,R201213,NETWORK ANALYSIS,16,E,3
21P31A0409,R201214,BASIC ELECTRICAL ENGINEERING,20,D,3
21P31A0409,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0409,R201233,APPLIED PHYSICS LABORATORY,11,A,1.5
21P31A0409,R201237,ELECTRONIC WORKSHOP LABORATORY,10,B,1.5
21P31A0409,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,B,1.5
21P31A0410,R201201,MATHEMATICS-II,22,D,3
21P31A0410,R201207,APPLIED PHYSICS,21,F,0
21P31A0410,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,E,3
21P31A0410,R201213,NETWORK ANALYSIS,16,F,0
21P31A0410,R201214,BASIC ELECTRICAL ENGINEERING,22,F,0
21P31A0410,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0410,R201233,APPLIED PHYSICS LABORATORY,10,B,1.5
21P31A0410,R201237,ELECTRONIC WORKSHOP LABORATORY,7,C,1.5
21P31A0410,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A,1.5
21P31A0411,R201201,MATHEMATICS-II,19,C,3
21P31A0411,R201207,APPLIED PHYSICS,20,D,3
21P31A0411,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,D,3
21P31A0411,R201213,NETWORK ANALYSIS,19,C,3
21P31A0411,R201214,BASIC ELECTRICAL ENGINEERING,24,D,3
21P31A0411,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0411,R201233,APPLIED PHYSICS LABORATORY,12,A,1.5
21P31A0411,R201237,ELECTRONIC WORKSHOP LABORATORY,12,A,1.5
21P31A0411,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A+,1.5
21P31A0412,R201201,MATHEMATICS-II,22,B,3
21P31A0412,R201207,APPLIED PHYSICS,23,B,3
21P31A0412,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,24,A,3
21P31A0412,R201213,NETWORK ANALYSIS,22,D,3
21P31A0412,R201214,BASIC ELECTRICAL ENGINEERING,23,B,3
21P31A0412,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0412,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A0412,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A,1.5
21P31A0412,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A,1.5
21P31A0413,R201201,MATHEMATICS-II,20,C,3
21P31A0413,R201207,APPLIED PHYSICS,19,D,3
21P31A0413,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,20,D,3
21P31A0413,R201213,NETWORK ANALYSIS,20,D,3
21P31A0413,R201214,BASIC ELECTRICAL ENGINEERING,22,B,3
21P31A0413,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0413,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
21P31A0413,R201237,ELECTRONIC WORKSHOP LABORATORY,12,A,1.5
21P31A0413,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A+,1.5
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A0415,R201201,MATHEMATICS-II,26,A+,3
21P31A0415,R201207,APPLIED PHYSICS,26,A,3
21P31A0415,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,24,C,3
21P31A0415,R201213,NETWORK ANALYSIS,23,E,3
21P31A0415,R201214,BASIC ELECTRICAL ENGINEERING,23,D,3
21P31A0415,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0415,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A0415,R201237,ELECTRONIC WORKSHOP LABORATORY,15,A+,1.5
21P31A0415,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A,1.5
21P31A0416,R201201,MATHEMATICS-II,20,D,3
21P31A0416,R201207,APPLIED PHYSICS,23,E,3
21P31A0416,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,F,0
21P31A0416,R201213,NETWORK ANALYSIS,20,F,0
21P31A0416,R201214,BASIC ELECTRICAL ENGINEERING,24,D,3
21P31A0416,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0416,R201233,APPLIED PHYSICS LABORATORY,11,A,1.5
21P31A0416,R201237,ELECTRONIC WORKSHOP LABORATORY,10,B,1.5
21P31A0416,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,A,1.5
21P31A0417,R201201,MATHEMATICS-II,24,B,3
21P31A0417,R201207,APPLIED PHYSICS,25,C,3
21P31A0417,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,D,3
21P31A0417,R201213,NETWORK ANALYSIS,22,D,3
21P31A0417,R201214,BASIC ELECTRICAL ENGINEERING,24,B,3
21P31A0417,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A0417,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
