,,,,,,,,,,,,,,,,,,,,,
,Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,
55,,,19P31A0311,,,R194103H,,,POWER PLANT ENGINEERING,,,15,,,F,,,0,,,
56,,,19P31A0412,,,R194104H,,,EMBEDDED SYSTEMS(COMMON TO ECE & EIE),,,19,,,F,,,0,,,
57,,,19P31A0445,,,R1941043,,,DIGITAL IMAGE AND VIDEO PROCESSING,,,14,,,F,,,0,,,
58,,,19P31A0492,,,R194104H,,,EMBEDDED SYSTEMS(COMMON TO ECE & EIE),,,15,,,F,,,0,,,
59,,,19P31A04B2,,,R194104C,,,SMARTSENSORS,,,20,,,ABSENT,,,0,,,
60,,,19P31A04B6,,,R1941042,,,DATA COMMUNICATIONS & COMPUTER NETWORKS,,,14,,,D,,,3,,,
61,,,19P31A04B6,,,R1941043,,,DIGITAL IMAGE AND VIDEO PROCESSING,,,16,,,F,,,0,,,
62,,,19P31A04B6,,,R194104C,,,SMARTSENSORS,,,15,,,F,,,0,,,
63,,,19P31A04D0,,,R194104H,,,EMBEDDED SYSTEMS(COMMON TO ECE & EIE),,,19,,,ABSENT,,,0,,,
64,,,19P31A04E5,,,R1941043,,,DIGITAL IMAGE AND VIDEO PROCESSING,,,13,,,F,,,0,,,
65,,,19P31A04E5,,,R194104H,,,EMBEDDED SYSTEMS(COMMON TO ECE & EIE),,,13,,,ABSENT,,,0,,,
66,,,19P31A04K4,,,R194104C,,,SMARTSENSORS,,,12,,,F,,,0,,,
67,,,19P31A04M2,,,R1941043,,,DIGITAL IMAGE AND VIDEO PROCESSING,,,13,,,F,,,0,,,
68,,,19P31A04M2,,,R194104C,,,SMARTSENSORS,,,15,,,F,,,0,,,
69,,,19P31A0540,,,R194104K,,,EMBEDDED SYSTEMS (EXPECT FOR ECE),,,11,,,F,,,0,,,
70,,,19P31A05B0,,,R194105D,,,INTERNET OF THINGS,,,18,,,C,,,3,,,
71,,,19P31A05B2,,,R194104K,,,EMBEDDED SYSTEMS (EXPECT FOR ECE),,,19,,,B,,,3,,,
72,,,19P31A05B2,,,R1941051,,,CRYPTOGRAPHY AND NETWORK SECURITY(COMMON,,,18,,,A,,,3,,,
73,,,19P31A05B2,,,R1941052,,,UML & DESIGN PATTERNS,,,17,,,D,,,3,,,
74,,,19P31A05B2,,,R1941053,,,MACHINE LEARNING(COMMON TO CSE & IT),,,18,,,C,,,3,,,
75,,,19P31A05B2,,,R194105D,,,INTERNET OF THINGS,,,19,,,C,,,3,,,
76,,,19P31A05B2,,,R194105H,,,MEAN STACK TECHNOLOGIES,,,20,,,C,,,3,,,
77,,,19P31A05B3,,,R194104K,,,EMBEDDED SYSTEMS (EXPECT FOR ECE),,,15,,,F,,,0,,,
78,,,19P31A05B3,,,R1941051,,,CRYPTOGRAPHY AND NETWORK SECURITY(COMMON,,,18,,,ABSENT,,,0,,,
79,,,19P31A05B3,,,R1941052,,,UML & DESIGN PATTERNS,,,15,,,F,,,0,,,
80,,,19P31A05B3,,,R1941053,,,MACHINE LEARNING(COMMON TO CSE & IT),,,15,,,ABSENT,,,0,,,
81,,,19P31A05B3,,,R194105D,,,INTERNET OF THINGS,,,18,,,D,,,3,,,
82,,,19P31A05B3,,,R194105H,,,MEAN STACK TECHNOLOGIES,,,15,,,D,,,3,,,
83,,,19P31A05C3,,,R1941051,,,CRYPTOGRAPHY AND NETWORK SECURITY(COMMON,,,15,,,ABSENT,,,0,,,
84,,,19P31A05C3,,,R194105D,,,INTERNET OF THINGS,,,16,,,ABSENT,,,0,,,
85,,,19P35A0202,,,R1641023,,,POWER SYSTEM OPERATION & CONTROL,,,22,,,C,,,3,,,
86,,,19P35A0227,,,R1641023,,,POWER SYSTEM OPERATION & CONTROL,,,22,,,C,,,3,,,
87,,,19P35A0366,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,17,,,ABSENT,,,0,,,
88,,,19P35A03A4,,,R1641031,,,MECHATRONICS,,,10,,,ABSENT,,,0,,,
89,,,19P35A03A4,,,R1641032,,,CAD/CAM(COMMON TO ME & AME),,,15,,,ABSENT,,,0,,,
90,,,19P35A03A4,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,14,,,ABSENT,,,0,,,
91,,,19P35A0405,,,R1641044,,,OPTICAL COMMUNICATIONS,,,22,,,F,,,0,,,
92,,,19P35A0405,,,R164104B,,,ELECTRONIC SWITCHING SYSTEMS,,,16,,,F,,,0,,,
93,,,203B1A0526,,,R204105A,,,CLOUD COMPUTING,,,18,,,D,,,3,,,
94,,,20MH1A0109,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,28,,,C,,,3,,,
95,,,20MH1A0109,,,R2041013,,,SKILL ADVANCED COURSE/SOFT SKILL COURSE,,,0,,,A+,,,2,,,
96,,,20MH1A0109,,,R2041014,,,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,,,0,,,D,,,3,,,
Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,,
97,,,20MH1A0109,,,R204101D,,,URBAN TRANSPORTATION PLANNING,,,16,,,E,,,3,,,
98,,,20MH1A0109,,,R204101E,,,GROUND IMPROVEMENT TECHNIQUES,,,17,,,D,,,3,,,
99,,,20MH1A0109,,,R204101J,,,EARTH & ROCK FILL DAMS,,,13,,,D,,,3,,,
100,,,20MH1A0109,,,R204103P,,,ADDITIVE MANUFACTURING,,,22,,,C,,,3,,,
101,,,20MH1A0109,,,R204103W,,,SAFETY ENGINEERING,,,20,,,F,,,0,,,
102,,,20MH1A0117,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,25,,,D,,,3,,,
